,school,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Notre Dame,Independent,Victory March,Michael J. Shea and John F. Shea,1908,0,1,0,152,64,1,1,1,1,1,0,1,1,0,0,6,15a3ShKX3XWKzq0lSS48yr,0.393,0.943,3,-10.731,1,0.0455,0.617,0.926,0.0665,0.0739,152.211,64560,4,0.393,0.943,3,-10.731,1,0.0455,0.617,0.926,0.0665,0.0739,152.211,64560,4,0.393,0.943,3,-10.731,1,0.0455,0.617,0.926,0.0665,0.0739,152.211,64560,4
1,Baylor,Big 12,Old Fight,Dick Baker and Frank Boggs,1947,1,1,0,76,99,1,4,1,1,0,0,1,0,0,1,5,2ZsaI0Cu4nz8DHfBkPt0Dl,0.557,0.412,10,-17.104,1,0.509,0.244,0.0,0.434,0.44,75.905,99773,4,0.557,0.412,10,-17.104,1,0.509,0.244,0.0,0.434,0.44,75.905,99773,4,0.557,0.412,10,-17.104,1,0.509,0.244,0.0,0.434,0.44,75.905,99773,4
2,Iowa State,Big 12,Iowa State Fights,"Jack Barker, Manly Rice, Paul Gnam, Rosalind K. Cook",1930,1,1,0,155,55,1,5,0,0,1,0,0,1,0,1,4,3yyfoOXZQCtR6pfRJqu9pl,0.609,0.937,3,-11.669,0,0.0417,0.4,0.979,0.549,0.452,154.676,55520,4,0.609,0.937,3,-11.669,0,0.0417,0.4,0.979,0.549,0.452,154.676,55520,4,0.609,0.937,3,-11.669,0,0.0417,0.4,0.979,0.549,0.452,154.676,55520,4
3,Kansas,Big 12,I'm a Jayhawk,"George ""Dumpy"" Bowles",1912,1,1,0,137,62,0,0,0,0,0,1,0,1,1,0,3,0JzbjZgcjugS0dmPjF9R89,0.772,0.922,8,-8.559,1,0.0923,0.916,0.978,0.164,0.944,137.129,62093,4,0.772,0.922,8,-8.559,1,0.0923,0.916,0.978,0.164,0.944,137.129,62093,4,0.772,0.922,8,-8.559,1,0.0923,0.916,0.978,0.164,0.944,137.129,62093,4
4,Kansas State,Big 12,Wildcat Victory,Harry E. Erickson,1927,1,1,0,80,67,1,6,1,0,0,0,1,0,0,0,3,4xxDK4g1OHhZ44sTFy8Ktm,0.8,0.738,5,-12.805,1,0.0602,0.801,0.0243,0.135,0.278,80.152,67293,4,0.8,0.738,5,-12.805,1,0.0602,0.801,0.0243,0.135,0.278,80.152,67293,4,0.8,0.738,5,-12.805,1,0.0602,0.801,0.0243,0.135,0.278,80.152,67293,4
5,Oklahoma,Big 12,Boomer Sooner,Arthur M. Alden,1905,1,1,0,153,37,0,0,0,0,1,0,0,0,0,1,2,0QXC8Gg1oKWkORegslTXoT,0.593,0.809,0,-8.368,0,0.0767,0.853,0.0315,0.174,0.715,153.481,37680,4,0.593,0.809,0,-8.368,0,0.0767,0.853,0.0315,0.174,0.715,153.481,37680,4,0.593,0.809,0,-8.368,0,0.0767,0.853,0.0315,0.174,0.715,153.481,37680,4
6,Oklahoma State,Big 12,Ride 'Em Cowboys,J.K. Long,1934,0,1,0,180,29,1,5,1,0,0,0,0,1,1,0,4,0mTJqaacUZPG740Y1YDn5j,0.501,0.78,10,-7.238,1,0.0778,0.689,0.974,0.035,0.959,179.897,29623,4,0.501,0.78,10,-7.238,1,0.0778,0.689,0.974,0.035,0.959,179.897,29623,4,0.501,0.78,10,-7.238,1,0.0778,0.689,0.974,0.035,0.959,179.897,29623,4
7,Texas,Big 12,Texas Fight,"Walter S. Hunnicutt, James E. King and Burnett Pharr",1923,0,1,0,81,65,1,17,0,1,0,0,1,0,1,0,4,53CytfvDMSkJHY5PtrcZiD,0.653,0.583,8,-12.152,1,0.0403,0.674,0.969,0.696,0.937,81.269,65267,4,0.653,0.583,8,-12.152,1,0.0403,0.674,0.969,0.696,0.937,81.269,65267,4,0.653,0.583,8,-12.152,1,0.0403,0.674,0.969,0.696,0.937,81.269,65267,4
8,TCU,Big 12,TCU Fight Song,Claude Sammis,1928,0,1,0,149,47,1,2,1,0,1,0,1,1,0,1,6,0ItcRLvqHlbkaqMCPtQKUl,0.521,0.877,10,-5.892,1,0.163,0.695,0.0559,0.115,0.569,149.216,47947,4,0.521,0.877,10,-5.892,1,0.163,0.695,0.0559,0.115,0.569,149.216,47947,4,0.521,0.877,10,-5.892,1,0.163,0.695,0.0559,0.115,0.569,149.216,47947,4
9,Texas Tech,Big 12,"Fight, Raiders, Fight",Carroll McMath,1936,1,1,0,159,54,1,8,1,0,0,0,1,0,0,0,3,3DfKi9Iqvtxf4DIjs8ezTq,0.501,0.695,1,-10.775,1,0.0496,0.835,0.99,0.142,0.937,158.744,54907,4,0.501,0.695,1,-10.775,1,0.0496,0.835,0.99,0.142,0.937,158.744,54907,4,0.501,0.695,1,-10.775,1,0.0496,0.835,0.99,0.142,0.937,158.744,54907,4
10,West Virginia,Big 12,Hail West Virginia,"Earl Miller, Ed McWhorter and Fred Deem",1915,1,1,0,152,92,0,0,0,0,0,0,0,1,0,0,1,1VqZp811UsBJy66R8TTkei,0.65,0.713,7,-5.831,0,0.13,0.742,3.29e-06,0.105,0.762,152.174,92013,4,0.65,0.713,7,-5.831,0,0.13,0.742,3.29e-06,0.105,0.762,152.174,92013,4,0.65,0.713,7,-5.831,0,0.13,0.742,3.29e-06,0.105,0.762,152.174,92013,4
