school,conference,song_name,color_code,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,new_writers
Notre Dame,Independent,Victory March,"rgb(7,44,112)",1908,0,1,0,152,64,1,1,1,1,1,0,1,1,0,0,6,15a3ShKX3XWKzq0lSS48yr,0.39299999999999996,0.943,3,-10.731,1,0.0455,0.617,0.9259999999999999,0.0665,0.0739,152.211,64560,4,Michael J. Shea and John F. Shea
Baylor,Big 12,Old Fight,"rgb(20,70,52)",1947,1,1,0,76,99,1,4,1,1,0,0,1,0,0,1,5,2ZsaI0Cu4nz8DHfBkPt0Dl,0.557,0.41200000000000003,10,-17.104,1,0.509,0.244,0.0,0.434,0.44,75.905,99773,4,Dick Baker and Frank Boggs
Iowa State,Big 12,Iowa State Fights,"rgb(200,0,3)",1930,1,1,0,155,55,1,5,0,0,1,0,0,1,0,1,4,3yyfoOXZQCtR6pfRJqu9pl,0.609,0.937,3,-11.669,0,0.0417,0.4,0.9790000000000001,0.5489999999999999,0.452,154.67600000000002,55520,4,"Jack Barker, Manly Rice, Paul Gnam, Rosalind K. Cook"
Kansas,Big 12,I'm a Jayhawk,"rgb(26,103,177)",1912,1,1,0,137,62,0,0,0,0,0,1,0,1,1,0,3,0JzbjZgcjugS0dmPjF9R89,0.772,0.922,8,-8.559,1,0.0923,0.9159999999999999,0.978,0.16399999999999998,0.9440000000000001,137.129,62093,4,"George ""Dumpy"" Bowles"
Kansas State,Big 12,Wildcat Victory,"rgb(101,50,151)",1927,1,1,0,80,67,1,6,1,0,0,0,1,0,0,0,3,4xxDK4g1OHhZ44sTFy8Ktm,0.8,0.738,5,-12.805,1,0.0602,0.8009999999999999,0.0243,0.135,0.278,80.152,67293,4,Harry E. Erickson
Oklahoma,Big 12,Boomer Sooner,"rgb(128,21,22)",1905,1,1,0,153,37,0,0,0,0,1,0,0,0,0,1,2,0QXC8Gg1oKWkORegslTXoT,0.593,0.809,0,-8.368,0,0.0767,0.853,0.0315,0.174,0.715,153.481,37680,4,Arthur M. Alden
Oklahoma State,Big 12,Ride 'Em Cowboys,"rgb(241,99,1)",1934,0,1,0,180,29,1,5,1,0,0,0,0,1,1,0,4,0mTJqaacUZPG740Y1YDn5j,0.501,0.78,10,-7.2379999999999995,1,0.0778,0.6890000000000001,0.9740000000000001,0.035,0.9590000000000001,179.89700000000002,29623,4,J.K. Long
Texas,Big 12,Texas Fight,"rgb(191,87,0)",1923,0,1,0,81,65,1,17,0,1,0,0,1,0,1,0,4,53CytfvDMSkJHY5PtrcZiD,0.653,0.583,8,-12.152000000000001,1,0.0403,0.674,0.9690000000000001,0.696,0.937,81.26899999999999,65267,4,"Walter S. Hunnicutt, James E. King and Burnett Pharr"
TCU,Big 12,TCU Fight Song,"rgb(204,0,0)",1928,0,1,0,149,47,1,2,1,0,1,0,1,1,0,1,6,0ItcRLvqHlbkaqMCPtQKUl,0.521,0.877,10,-5.892,1,0.163,0.695,0.0559,0.115,0.569,149.216,47947,4,Claude Sammis
Texas Tech,Big 12,"Fight, Raiders, Fight","rgb(0,50,120)",1936,1,1,0,159,54,1,8,1,0,0,0,1,0,0,0,3,3DfKi9Iqvtxf4DIjs8ezTq,0.501,0.695,1,-10.775,1,0.0496,0.835,0.99,0.142,0.937,158.744,54907,4,Carroll McMath
West Virginia,Big 12,Hail West Virginia,"rgb(0,40,85)",1915,1,1,0,152,92,0,0,0,0,0,0,0,1,0,0,1,1VqZp811UsBJy66R8TTkei,0.65,0.713,7,-5.831,0,0.13,0.742,3.29e-06,0.105,0.762,152.174,92013,4,"Earl Miller, Ed McWhorter and Fred Deem"
Illinois,Big Ten,Oskee-Wow-Wow,"rgb(232,74,39)",1910,1,1,0,162,60,0,0,1,0,1,1,1,1,1,0,6,6C0vaoMxzM21yYgJBmGx5K,0.386,0.691,0,-9.869,1,0.0371,0.922,0.9840000000000001,0.409,0.818,162.375,60893,4,H.R. Green and H.V. Hill
Indiana,Big Ten,"Indiana, Our Indiana","rgb(154,0,0)",1912,1,1,0,150,63,1,1,0,0,0,0,1,0,0,1,3,2Wbo5zdRDnq4pOgWL9avaG,0.655,0.6920000000000001,5,-8.309,1,0.0404,0.8059999999999999,0.153,0.0504,0.9670000000000001,149.909,63813,4,Russell P. Harker and Karl L. King
Iowa,Big Ten,Iowa Fight Song,"rgb(130,36,52)",1950,0,1,0,150,72,1,9,0,1,1,0,0,0,0,0,3,604ELPPFgbFlW0SHoEYVJw,0.43,0.29600000000000004,8,-20.531999999999996,1,0.0357,0.985,0.0252,0.33799999999999997,0.813,149.923,72360,4,Meredith Willson
Maryland,Big Ten,Maryland Fight Song,"rgb(224,58,62)",1939,1,1,0,142,56,1,8,1,1,0,0,0,0,0,0,3,6PKoPWKJLOBI2K33RkFvbc,0.532,0.773,10,-9.607999999999999,1,0.0711,0.705,0.946,0.115,0.617,141.579,56413,4,Ralph Davis
Michigan,Big Ten,The Victors,"rgb(5,39,76)",1898,1,1,0,83,122,0,0,0,0,0,0,0,0,0,0,0,6wVbHLCBOCqp6052WcWXLG,0.546,0.679,8,-12.044,1,0.0679,0.6559999999999999,0.966,0.26899999999999996,0.325,83.09100000000001,122968,4,Louis Elbel
Michigan State,Big Ten,Victory for MSU,"rgb(24,69,59)",1915,1,1,0,145,112,1,6,1,1,1,0,1,0,0,1,5,4BSrPApxbeUNPA5Q8LyfMd,0.5770000000000001,0.88,8,-12.783,1,0.0643,0.785,0.0781,0.857,0.184,145.006,112453,4,Francis Irving Lankey and Arthur L. Sayles
Minnesota,Big Ten,The Minnesota Rouser,"rgb(122,0,25)",1909,0,1,1,151,60,0,0,0,0,1,1,0,0,0,1,3,2EeyLSmHKdZulOKGcTpLS0,0.774,0.758,7,-9.442,0,0.048,0.293,0.0,0.114,0.912,151.306,60107,4,Floyd Hutsell
Nebraska,Big Ten,Dear Old Nebraska U.,"rgb(277,25,55)",1924,1,0,0,136,94,0,0,0,0,0,0,0,1,0,0,1,7z2TihIyf3IZR1r0AmI1Ik,0.617,0.384,11,-20.55,1,0.0486,0.862,0.00576,0.0754,0.775,135.611,94147,4,Harry Pecha
Northwestern,Big Ten,Go! U Northwestern,"rgb(78,42,132)",1912,1,1,0,140,57,1,1,1,1,1,0,0,0,0,0,4,4iWO9U49SZ0vvzto7qxRxN,0.725,0.888,10,-8.227,1,0.0316,0.758,0.701,0.149,0.9329999999999999,140.44899999999998,57387,4,Theodore C. Van Etten
Ohio State,Big Ten,Buckeye Battle Cry,"rgb(187,0,0)",1919,0,1,1,178,89,1,1,1,1,0,0,1,1,0,0,5,2faIedehtxwQqYxRRc6T2L,0.608,0.6709999999999999,8,-8.413,1,0.0578,0.96,0.972,0.171,0.6509999999999999,177.825,89147,4,Frank Crumit
Penn State,Big Ten,"Fight On, State","rgb(22,41,83)",1933,0,1,0,145,81,1,5,1,1,0,0,1,0,0,1,5,5InlNNfIFQAvCL78VFgR5O,0.524,0.397,0,-13.838,1,0.0542,0.534,0.0,0.26899999999999996,0.5720000000000001,144.99200000000002,81800,4,Joseph Sanders
